experiment,model,task,task_family,dataset,dataset_file,reported_in_paper,weights,n,perf,perf_er0,perf_erpos,pct_er0,overall,IR,IO,ER,EO,gc,cp,length,info,validity,tanimoto,semantic_entropy,claims_per_resp,perclaim_fab_rate,hedge_rate,abstain_rate,fab_position,n_conditions,base_accuracy,samples_per_response,n_matched_token,n_dlogp
diagnosis,DeepSeek-R1-Distill,s2_MolEdit_SubComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_SubComponent.csv,True,,500,40.4,41.3043,40.1961,18.4,38.5786,17.6446,44.48,13.3819,61.3326,4.726,66.6949,9185.31,0.5145,44.4,,1.0651,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolOpt_LogP,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_LogP.csv,True,,500,20.4,66.6667,20.1207,0.6,53.4192,17.504,61.12,28.7977,80.8973,4.376,42.2231,13663.076,0.3203,23.6,,1.3536,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolOpt_MR,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_MR.csv,True,,500,9.0,40.0,8.6869,1.0,56.5103,17.837,66.4,27.6892,86.6066,4.026,42.0251,13934.362,0.2889,17.0,,1.2808,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,s2_MolOpt_QED,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolOpt_QED.csv,True,,500,12.0,42.8571,11.5619,1.4,52.7659,15.0408,60.16,28.4515,81.0192,4.246,40.3535,13931.11,0.3048,24.8,,1.4657,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,bace,classification,MoleculeNet,moleculenet/bace/bace.csv,False,,152,0.0,0.0,0.0,11.1842,20.772,1.8047,0.0,13.8474,48.6842,4.3158,68.6192,4152.6579,1.0393,100.0,,0.2427,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,bbbp,classification,MoleculeNet,moleculenet/bbbp/bbbp.csv,False,,204,0.0,0.0,0.0,10.2941,22.1275,11.433,0.0,18.512,45.098,3.5392,57.1655,5803.5147,0.6098,100.0,,0.4413,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,hiv,classification,MoleculeNet,moleculenet/hiv/hiv.csv,False,,4113,0.0,0.0,0.0,3.7685,38.4157,10.9801,1.1062,26.2787,84.8772,3.0494,39.9173,6292.8855,0.4846,98.4196,,0.2331,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,tox21,classification,MoleculeNet,moleculenet/tox21/tox21.csv,False,,784,0.0,0.0,0.0,6.3776,26.4262,14.5441,2.0536,21.7206,51.148,3.4005,52.0703,6531.5217,0.5206,97.0663,,0.3511,,,,,,,,,,
diagnosis,DeepSeek-R1-Distill,clintox,classification,MoleculeNet,moleculenet/clintox/clintox.csv,False,,148,0.0,0.0,0.0,4.7297,35.9768,8.2376,1.4189,21.1634,82.4324,3.6554,52.2201,5657.5676,0.6461,97.973,,0.1789,,,,,,,,,,
diagnosis,ether-0,cap2mol,translation,ChEBI-20,chebi-20/test.txt,True,futurehouse/ether0,3300,30.8485,34.1808,24.8299,64.3636,17.2841,3.1842,11.0067,8.2149,32.7365,2.7803,85.6996,2763.1936,1.0062,86.5758,0.6219,1.1023,,,,,,,,,,
diagnosis,ether-0,mol2cap,translation,ChEBI-20,chebi-20/test.txt,True,futurehouse/ether0,3300,0.1382,0.1399,0.1365,48.6667,49.9123,5.2797,44.9,9.8384,98.6127,2.5173,74.5959,2132.4185,1.1805,9.3333,,2.2798,,,,,,,,,,
diagnosis,ether-0,retrosynthesis,translation,USPTO-50k,uspto50k/USPTO_50K.csv,True,futurehouse/ether0,5007,2.6763,2.1094,2.8709,25.5642,28.517,13.0723,12.0956,13.4928,58.3902,4.2866,71.6747,2757.0503,1.5548,72.3188,,0.9137,,,,,,,,,,
diagnosis,ether-0,s2_MolCustom_AtomNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_AtomNum.csv,True,futurehouse/ether0,500,54.2,79.5181,49.1607,16.6,31.3303,48.765,17.44,37.262,28.5875,1.182,24.0049,5128.738,0.2305,78.2,,1.3112,,,,,,,,,,
diagnosis,ether-0,s2_MolCustom_BondNum,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_BondNum.csv,True,futurehouse/ether0,500,13.6,12.6316,13.8272,19.0,37.341,53.3357,13.76,29.4469,51.4337,0.93,25.0674,5945.75,0.1564,82.8,,1.306,,,,,,,,,,
diagnosis,ether-0,s2_MolCustom_FunctionalGroup,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolCustom_FunctionalGroup.csv,True,futurehouse/ether0,500,43.0,70.1754,39.5034,11.4,32.6665,55.068,12.0,27.8612,41.0111,2.798,45.8238,5932.194,0.4717,85.0,,1.4762,,,,,,,,,,
diagnosis,ether-0,s2_MolEdit_AddComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_AddComponent.csv,True,futurehouse/ether0,500,88.2,86.5385,88.9535,31.2,12.1383,8.734,4.64,11.0506,18.368,3.884,77.3397,2813.646,1.3804,94.2,,0.8038,,,,,,,,,,
diagnosis,ether-0,s2_MolEdit_DelComponent,S2 instruction-following,S2-TOMG-Bench,s2-bench/MolEdit_DelComponent.csv,True,futurehouse/ether0,500,75.6,78.534,73.7864,38.2,16.6284,12.618,6.56,10.9757,28.7391,3.4,76.6456,2651.062,1.2825,91.8,,0.826,,,,,,,,,,
